Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
Agent.__init__: color: W, learn_rate: 0.6, discount_factor: 0.35, is_trained: False
